Estacao	Data	Hora	Precipitacao
82191	12/01/1969	1200	5
82191	13/01/1969	1200	0,2
82191	14/01/1969	1200	2
82191	15/01/1969	1200	0,2
82191	16/01/1969	1200	0
82191	17/01/1969	1200	1,8
82191	18/01/1969	1200	20,6
82191	19/01/1969	1200	3,2
82191	20/01/1969	1200	0,2
82191	21/01/1969	1200	9,6
82191	22/01/1969	1200	5
82191	23/01/1969	1200	0
82191	24/01/1969	1200	1
82191	25/01/1969	1200	17
82191	26/01/1969	1200	3
82191	27/01/1969	1200	39,4
82191	28/01/1969	1200	44
82191	29/01/1969	1200	5,2
82191	30/01/1969	1200	0
82191	31/01/1969	1200	8,8
82191	01/02/1969	1200	7,8
82191	02/02/1969	1200	8
82191	03/02/1969	1200	0
82191	04/02/1969	1200	2
82191	05/02/1969	1200	3,4
82191	06/02/1969	1200	12
82191	07/02/1969	1200	35,2
82191	08/02/1969	1200	12
82191	09/02/1969	1200	4,6
82191	10/02/1969	1200	27,2
82191	11/02/1969	1200	8,4
82191	12/02/1969	1200	0
82191	13/02/1969	1200	9,8
82191	14/02/1969	1200	18
82191	15/02/1969	1200	21
82191	16/02/1969	1200	0
82191	17/02/1969	1200	21,2
82191	18/02/1969	1200	7
82191	19/02/1969	1200	82,1
82191	20/02/1969	1200	1,8
82191	21/02/1969	1200	13
82191	22/02/1969	1200	3,8
82191	23/02/1969	1200	12
82191	24/02/1969	1200	0
82191	25/02/1969	1200	38,6
82191	26/02/1969	1200	4,4
82191	27/02/1969	1200	6,4
82191	28/02/1969	1200	0
82191	01/03/1969	1200	8,8
82191	02/03/1969	1200	0
82191	03/03/1969	1200	19,4
82191	04/03/1969	1200	9,6
82191	05/03/1969	1200	0,6
82191	06/03/1969	1200	4,8
82191	07/03/1969	1200	57,8
82191	08/03/1969	1200	10,2
82191	09/03/1969	1200	16,4
82191	11/03/1969	1200	5,2
82191	12/03/1969	1200	6,4
82191	13/03/1969	1200	5,2
82191	14/03/1969	1200	26,6
82191	15/03/1969	1200	0,2
82191	16/03/1969	1200	0
82191	17/03/1969	1200	5,4
82191	18/03/1969	1200	4,2
82191	19/03/1969	1200	10
82191	20/03/1969	1200	0
82191	21/03/1969	1200	1
82191	22/03/1969	1200	20,3
82191	23/03/1969	1200	5,6
82191	24/03/1969	1200	8
82191	25/03/1969	1200	21
82191	26/03/1969	1200	1,6
82191	27/03/1969	1200	13
82191	28/03/1969	1200	18,2
82191	29/03/1969	1200	0,6
82191	30/03/1969	1200	10
82191	31/03/1969	1200	1
82191	01/04/1969	1200	13
82191	02/04/1969	1200	11,4
82191	03/04/1969	1200	4,4
82191	04/04/1969	1200	4,4
82191	05/04/1969	1200	0,4
82191	06/04/1969	1200	6,4
82191	07/04/1969	1200	27
82191	08/04/1969	1200	6
82191	09/04/1969	1200	0
82191	10/04/1969	1200	4
82191	11/04/1969	1200	14,9
82191	12/04/1969	1200	9,4
82191	13/04/1969	1200	1
82191	14/04/1969	1200	0
82191	15/04/1969	1200	42,6
82191	16/04/1969	1200	4,2
82191	17/04/1969	1200	0,2
82191	18/04/1969	1200	29
82191	19/04/1969	1200	0
82191	20/04/1969	1200	3,4
82191	21/04/1969	1200	0
82191	22/04/1969	1200	4,6
82191	23/04/1969	1200	36,4
82191	24/04/1969	1200	37
82191	25/04/1969	1200	3,4
82191	26/04/1969	1200	9,4
82191	27/04/1969	1200	0,8
82191	28/04/1969	1200	7,2
82191	29/04/1969	1200	0,4
82191	30/04/1969	1200	5,8
82191	01/05/1969	1200	1
82191	02/05/1969	1200	1,8
82191	03/05/1969	1200	6,2
82191	04/05/1969	1200	30,4
82191	05/05/1969	1200	20,7
82191	06/05/1969	1200	9
82191	07/05/1969	1200	13,2
82191	08/05/1969	1200	0,4
